name,quantity,region,service_id,sku,product_description,"unit_price, USD","total_price, USD",notes
Artifact Registry Storage,0.5,global,149C-F9EC-3994,8502-299A-ABAF,CP-ARTIFACT-REGISTRY,0,0,
Artifact Registry Storage,0.5,global,149C-F9EC-3994,8502-299A-ABAF,CP-ARTIFACT-REGISTRY,0.1,0.05,
Build time,5,global,8B5D-EF7D-EB12,A464-9020-6404,CP-CLOUDBUILD-DEFAULTPOOL-MACHINE-E2-MEDIUM,0,0,
CPU Allocation Time,0,us-central1,152E-C115-5142,4856-B847-F1EB,CP-CLOUD-RUN-CPU-ALLOCATION-TIME-TIER1-THROTTLED,0.000024,0,
Memory Allocation Time,0,us-central1,152E-C115-5142,02A2-9231-36A6,CP-CLOUD-RUN-MEMORY-ALLOCATION-TIME-TIER1-THROTTLED,0.0000025,0,
Requests,1000,global,152E-C115-5142,2DA5-55D3-E679,CP-CLOUD-RUN-REQUESTS-TIER1,0,0,
CPU Allocation Time,0,us-central1,152E-C115-5142,4856-B847-F1EB,CP-CLOUD-RUN-CPU-ALLOCATION-TIME-TIER1-THROTTLED,0.000024,0,
Memory Allocation Time,0,us-central1,152E-C115-5142,02A2-9231-36A6,CP-CLOUD-RUN-MEMORY-ALLOCATION-TIME-TIER1-THROTTLED,0.0000025,0,
Requests,1000,global,152E-C115-5142,2DA5-55D3-E679,CP-CLOUD-RUN-REQUESTS-TIER1,0,0,
Cloud SQL for MySQL: Zonal - Micro instance in Jakarta,730,asia-southeast2,9662-B51E-5089,7FB4-4536-69D4,CP-CLOUDSQL-MY-F1,0.0137,10,
Cloud SQL for MySQL: Zonal - Standard storage in Jakarta,10,asia-southeast2,9662-B51E-5089,E969-FD43-DE2D,CP-CLOUDSQL-MY-F1,0.221,2.21,
Standard Storage Jakarta,1,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,CP-BIGSTORE-STANDARD,0.023,0.023
Regional Standard Class B Operations,50000,asia-southeast2,95FF-2EF5-5EA1,7870-010B-2763,CP-BIGSTORE-STANDARD,0,0
Regional Standard Class B Operations,950000,asia-southeast2,95FF-2EF5-5EA1,7870-010B-2763,CP-BIGSTORE-STANDARD,0.0004,0.38
,,,,,,,,
,,,,,,Total Price:,12.663000000000002,
,,,,,,* Sustained use discount (SUD) is not included. You may need to apply discounts separately for each SKU,,
,,,,,,,,
"Prices are in US dollars, effective date is 2023-06-15T10:41:05.063Z.",,,,,,,,
,,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,,
,,,,,,,,
Url to the estimate:,https://cloud.google.com/products/calculator/#id=47b86b0c-45a5-47fa-9691-2b09d7cb56c7,,,,,,,
